,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
st,0.471,0.032,0.409,0.528,0.001,0.001,1565.0,1187.0,1.0
v_1|participant_id[0],-0.299,0.101,-0.493,-0.114,0.004,0.002,658.0,975.0,1.0
v_1|participant_id[1],0.27,0.108,0.062,0.473,0.004,0.003,661.0,886.0,1.0
v_1|participant_id[2],0.165,0.119,-0.058,0.381,0.004,0.002,858.0,1165.0,1.0
v_1|participant_id[3],-0.269,0.105,-0.468,-0.078,0.004,0.003,690.0,1033.0,1.0
v_1|participant_id[4],0.609,0.136,0.354,0.872,0.004,0.003,1003.0,1033.0,1.0
v_1|participant_id[5],0.102,0.111,-0.11,0.31,0.004,0.003,673.0,937.0,1.0
v_1|participant_id[6],0.047,0.115,-0.161,0.278,0.004,0.002,906.0,1193.0,1.0
v_1|participant_id[7],-0.407,0.109,-0.607,-0.201,0.004,0.003,777.0,1002.0,1.0
v_1|participant_id[8],0.095,0.105,-0.091,0.305,0.004,0.002,698.0,1048.0,1.0
v_1|participant_id[9],-0.195,0.106,-0.392,0.006,0.004,0.003,793.0,1121.0,1.0
v_1|participant_id[10],0.171,0.104,-0.022,0.36,0.004,0.002,663.0,930.0,1.0
v_1|participant_id[11],0.169,0.1,-0.033,0.347,0.004,0.002,630.0,848.0,1.0
v_1|participant_id[12],0.235,0.114,0.006,0.436,0.004,0.003,787.0,1041.0,1.0
v_1|participant_id[13],-0.203,0.099,-0.378,-0.004,0.004,0.003,707.0,1144.0,1.0
sa,0.1,0.076,0.0,0.245,0.002,0.002,1330.0,958.0,1.0
a_Intercept,-1.016,0.141,-1.266,-0.755,0.007,0.005,459.0,723.0,1.01
v_1|participant_id_offset[0],-1.048,0.405,-1.788,-0.3,0.017,0.01,594.0,797.0,1.0
v_1|participant_id_offset[1],0.932,0.386,0.269,1.723,0.015,0.009,704.0,994.0,1.0
v_1|participant_id_offset[2],0.565,0.406,-0.23,1.3,0.013,0.008,918.0,1196.0,1.0
v_1|participant_id_offset[3],-0.941,0.404,-1.681,-0.184,0.016,0.01,620.0,960.0,1.0
v_1|participant_id_offset[4],2.097,0.517,1.116,3.049,0.018,0.011,854.0,1111.0,1.0
v_1|participant_id_offset[5],0.348,0.376,-0.415,1.0,0.014,0.009,711.0,919.0,1.0
v_1|participant_id_offset[6],0.155,0.392,-0.635,0.834,0.013,0.01,915.0,1091.0,1.0
v_1|participant_id_offset[7],-1.42,0.456,-2.337,-0.617,0.018,0.011,657.0,969.0,1.0
v_1|participant_id_offset[8],0.321,0.354,-0.377,0.93,0.013,0.008,744.0,1036.0,1.0
v_1|participant_id_offset[9],-0.685,0.395,-1.466,0.011,0.015,0.01,738.0,1121.0,1.0
v_1|participant_id_offset[10],0.588,0.355,-0.066,1.262,0.014,0.009,686.0,931.0,1.0
v_1|participant_id_offset[11],0.582,0.343,-0.085,1.2,0.013,0.007,686.0,841.0,1.0
v_1|participant_id_offset[12],0.809,0.397,0.018,1.507,0.014,0.009,832.0,1024.0,1.0
v_1|participant_id_offset[13],-0.715,0.371,-1.426,-0.038,0.015,0.009,654.0,1102.0,1.0
a_1|participant_id_offset[0],0.128,0.339,-0.471,0.809,0.016,0.009,466.0,690.0,1.01
a_1|participant_id_offset[1],-0.12,0.313,-0.677,0.493,0.013,0.008,582.0,975.0,1.01
a_1|participant_id_offset[2],-1.699,0.343,-2.33,-1.07,0.012,0.007,822.0,1098.0,1.0
a_1|participant_id_offset[3],0.11,0.341,-0.55,0.727,0.015,0.008,483.0,934.0,1.01
a_1|participant_id_offset[4],-2.111,0.404,-2.892,-1.388,0.015,0.008,748.0,948.0,1.01
a_1|participant_id_offset[5],-1.165,0.29,-1.749,-0.654,0.01,0.007,758.0,995.0,1.0
a_1|participant_id_offset[6],-1.513,0.322,-2.115,-0.921,0.011,0.008,835.0,1072.0,1.0
a_1|participant_id_offset[7],-0.932,0.275,-1.44,-0.417,0.01,0.006,776.0,1130.0,1.0
a_1|participant_id_offset[8],-0.054,0.321,-0.668,0.529,0.014,0.008,553.0,907.0,1.01
a_1|participant_id_offset[9],-0.07,0.324,-0.674,0.544,0.015,0.008,490.0,868.0,1.01
a_1|participant_id_offset[10],-0.154,0.313,-0.74,0.432,0.013,0.008,579.0,937.0,1.01
a_1|participant_id_offset[11],0.9,0.467,0.069,1.844,0.022,0.012,451.0,783.0,1.01
a_1|participant_id_offset[12],-0.868,0.288,-1.399,-0.313,0.01,0.007,757.0,1119.0,1.0
a_1|participant_id_offset[13],0.452,0.389,-0.242,1.218,0.018,0.01,452.0,826.0,1.01
v_1|participant_id_sigma,0.298,0.063,0.194,0.414,0.002,0.002,620.0,977.0,1.0
a_1|participant_id[0],0.036,0.151,-0.242,0.326,0.007,0.005,467.0,665.0,1.01
a_1|participant_id[1],-0.07,0.152,-0.358,0.194,0.007,0.005,519.0,766.0,1.01
a_1|participant_id[2],-0.747,0.161,-1.033,-0.44,0.007,0.005,499.0,821.0,1.01
a_1|participant_id[3],0.028,0.152,-0.241,0.316,0.007,0.005,489.0,830.0,1.01
a_1|participant_id[4],-0.925,0.175,-1.263,-0.631,0.007,0.005,660.0,829.0,1.0
a_1|participant_id[5],-0.518,0.156,-0.817,-0.233,0.007,0.005,501.0,754.0,1.01
a_1|participant_id[6],-0.667,0.16,-0.957,-0.367,0.007,0.005,516.0,859.0,1.01
a_1|participant_id[7],-0.418,0.154,-0.724,-0.159,0.007,0.005,479.0,831.0,1.01
a_1|participant_id[8],-0.042,0.152,-0.316,0.232,0.007,0.005,526.0,721.0,1.01
a_1|participant_id[9],-0.049,0.154,-0.328,0.246,0.007,0.005,461.0,758.0,1.01
a_1|participant_id[10],-0.085,0.153,-0.357,0.202,0.007,0.005,514.0,756.0,1.01
a_1|participant_id[11],0.367,0.154,0.088,0.643,0.007,0.005,529.0,775.0,1.01
a_1|participant_id[12],-0.391,0.158,-0.689,-0.113,0.007,0.005,513.0,756.0,1.01
a_1|participant_id[13],0.175,0.152,-0.118,0.432,0.007,0.005,484.0,857.0,1.01
z,0.515,0.008,0.5,0.531,0.0,0.0,1425.0,1180.0,1.0
v_Intercept,0.403,0.087,0.249,0.58,0.004,0.003,480.0,604.0,1.0
